What,Prerequisites,
Danube Bridges in Budapest,"General knowledge in Structural Mechanics, use of computer programmes",
Découvrir une cathédrale,Connaissances de base de mÃ©canique,
Recherche opérationnelle et aide à la décision,- Connaissances de base en théorie des graphes et en optimisation combinatoire.- Programmation en C pour les TP.- Un goût pour la modélisation mathématique.,
Adaptive Optics: applications to ophthalmology and astronomy,"Basic knowledge of physics, engineering, geometrical optics and Fourier optics (diffraction)",
Multimedia Indexing and Retrieval,Basic knowledge on image and sound processing is required as well as notions about automatic classification.,
Programming Numerical Mathematics in C++,"Knowledge of C++ is not required, but experience with programming (Fortran, Java, C, Matlab, Python, or other languages) is mandatory.Preliminary knowledge of numerical mathematics is mandatory (e.g. the notion of floating point numbers, the power method, the bisection zerofinder).",
Europe utile : une approche industrielle,"Aucune connaissance spécialisée particulièreUne intervention se déroulera en anglaisAttention, les frais de transport pour le déplacement à Bruxelles s'élèvent à environ 85 euros",
"Ontologies, Semantic Web, and Linked Data","It is highly recommendable to have attained a certain level in the following subjects and technologies, as they will not be explained in the classes.•Knowledge representation systems: frames, semantic networks and description logics•Web Technologies: HTML, XML, etc.Java and JDBC",
Smart and Accessible Homes,It isn’t necessary but recommended to have some knowledge in communication networks.,
Introduction to Symbolic Computation for Engineers,Basic Knowledge of linear algebra and calculus,
"Algorithms for curves and surfaces, and its applications.",Basic Knowledge of linear algebra and calculus,
Iberian and Canarian Vegetation: Landscapes and Human Impact,Students of Forest orEnvironmental Engineering and similar careers havingbasicknowledge of Systematic Botany and European phytogeography.,
Engineering Economics for Project Management,"None, but familiarity with Excel would be helpful",
Ingénierie du risque,"lace prépondérante tant dans le monde de l'industrie, de l'entreprise que dans la vie de tous les jours. Il ne nécessite aucun pré requis.Ce cours s'adresse à toute personne intéressée par la question de la sécurité industrielle et désireuse de s'initier à un domaine qui tient une place prépondérante tant dans le monde de l'industrie, de l'entreprise que dans la vie de tous les jours. Il ne nécessite aucun pré requis.Ce cours s'adresse à toute personne intéressée par la question de la sécurité industrielle et désireuse de s'initier à un domaine qui tient une place prépondérante tant dans le monde de l'industrie, de l'entreprise que dans la vie de tous les jours. Il ne nécessite aucun pré requis.",
(GIS) Geopraphic Information System,Basic knowledge in applied mathematics and digital design.,
Text Searching Algorithms,"Sets, relations, oriented graphs, finite automata, regular expressions.",
Application of Ionizing Radiation,General knowledge of the interaction of ionizing radiation with matter is necessary,
Game Theory,Basic undergraduate calculus.,
Elab - Remotely controlled Physics laboratories,Engineering degree students with courses on programming and physics are recommended.,
"Couleur, arts, industrie",Notions de base sur la lumière et les rayonnements,
Operational Research,Basic knowledge of: Linear Algebra; Calculus; Probability & Statistics. Basic knowledge of Excel.,
E-DigitalLAB - Essentials on Fabrication laboratory,Architecture and Engineering students with basic levelincomputer graphics.,
Introduction to Vibrational Spectroscopy,Basic knowledge of chemistry,
Management and Economics of the Enterprise,Basic knowledge of enterprise management systems and tools.,
Membrane Technology,Background in engineering or chemistry,
The PIV Method in Fluid Mechanics,General knowledge of fluid mechanics and thermodynamics and matlab.,
Physics and Mechanics of Random Media,Basic knowledge in   probability theory. Physics and Mechanics of solids,
Sound: Hearing and Acoustical Measurements,"Basic knowledge of engineering, physicsand mathematics.",
Metaheuristics for Global Optimization,"statistics and probability theory (basic level), linear algebra (basic level), calculus (basic level)",
Multimedia Indexing and Retrieval,Basic knowledge on image and sound processing is required as well as notions about automatic classification.,
Quantum entanglement for communications: from theory to experiments,Maxwell equations,
Mobile application development,"Since the students will develop their own mobile application, it is important that they feel comfortable with Java, and that they are able to develop desktop applications. The Eclipse development environment will be used, and practicing it in advance will be very beneficial to the students.Students willing to bring and use their own laptop during the class may do so, provided they have installed the Eclipse development environment and the Android SDK (software development kit) before starting the course.",
Old Galata Bridge Re-integration to the Historical Peninsula and Galata (Istanbul),"Basic design tools and abilities at urban, architectural, and object design levels.",
Polymers and Composites (Properties and Durability),The course is an initiation to polymer science and applications and aims at students knowing a little about materials and the mechanics of materials.,
Acoustique du BTP,None.,
Managing Communication in an International Context,Participants must have an advanced level of English (level 4 or C1 in the ALTE or Common European Framework of reference).,
Introduction to Musculoskeletal and Osteoarticular Biomechanics,Basic knowledge in mechanics.,
